R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R21i,R22i,R23i,R25i,R26i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T8,T9,T10,T11,T12,T13,T19,T21,T22
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,7,7,0,7,0,0,0,1,7,-7,0,15,1,-7,8,0,1,7,0,-7,0,0,15,15,-7,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,6,6,0,6,0,0,0,0,6,-6,1,13,1,-7,6,0,1,6,0,-6,0,0,13,12,-6,0,0,0,0
0,0,0,0,8,0,0,0,0,0,8,0,0,1,0,0,0,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,0,-8,-8,0,38,15,15,-8,0,0,0,8
0,0,0,0,8,0,0,0,0,0,11,0,0,1,0,0,11,0,11,0,0,0,0,11,-8,0,18,1,-7,8,0,1,11,0,-8,0,0,18,18,-8,0,3,0,11
0,0,0,0,8,0,0,0,0,0,8,0,0,1,0,0,8,0,8,0,0,0,0,8,-8,0,15,1,-7,8,0,1,8,0,-8,0,6,15,15,-8,0,0,0,8
0,0,0,0,16,0,0,0,0,0,16,0,0,2,0,0,19,0,16,0,0,0,0,16,-16,0,30,2,-14,16,0,2,19,3,-16,0,0,30,30,-16,0,0,0,16
0,0,0,0,8,0,0,0,0,0,11,0,0,1,0,0,11,0,11,0,0,0,0,11,-8,0,18,1,-7,8,-8,1,11,0,0,0,0,18,18,-8,0,11,0,11
0,0,0,0,8,0,0,0,0,0,11,0,0,1,0,0,11,0,11,0,0,0,0,11,-8,0,18,1,-7,8,3,1,11,0,-11,0,0,18,18,-8,0,0,0,11
0,0,0,0,8,0,0,0,0,0,7,0,0,1,0,0,7,0,7,0,0,0,8,7,0,0,22,1,-7,8,0,1,7,0,0,0,0,22,22,0,0,7,0,7
0,0,0,0,8,0,0,0,0,0,7,0,0,1,0,0,7,0,7,0,0,0,8,7,0,0,22,1,-7,8,7,1,7,0,-7,0,0,22,22,0,0,0,0,7
0,0,0,0,8,0,0,0,0,0,29,0,0,1,0,0,29,0,29,0,0,0,-36,29,-44,0,0,1,-7,8,0,1,29,0,-44,0,0,0,0,-44,0,-15,0,29
